PC1,PC2,Total_Nitrogen,Total_Carbon,Acidified_Nitrogen,Acidified_Carbon
-9.116943570305102,-7.968562827444014,0.080615886,1.273131728,0.068152837,1.149441838
6.805870308605891,-6.673209415023359,0.049200121,0.708034933,0.043975279,0.628249288
5.592908233305473,-4.746430637799262,0.041606579,0.747942328,0.043346796,0.712370038
0.9157601351266677,-4.427885461460611,0.103901014,1.496757269,0.098162293,1.44022572
10.555351873192862,-3.1969336646429083,0.065010197,0.935921192,0.061458621,0.878174961
-6.440081598741668,-8.248311561316559,0.05784183,0.878888488,0.051559143,0.78073144
-7.8162124386318235,-11.220494470574954,0.092958517,1.237339854,0.077620775,1.161373019
-4.9266107756508735,-7.162769425169411,0.062909104,0.929814339,0.058812991,0.86665076
-5.288948281164401,-7.59790666361425,0.111117013,1.600985885,0.100233674,1.520515442
-1.7533750088704891,-4.11625096720373,0.041178282,0.475037217,0.039642684,0.438693374
10.177014552686977,-4.6770666264885055,0.040782142,0.499953061,0.039653417,0.496055484
-2.770055957918666,-4.090494115133817,0.043945108,0.606689095,0.042646877,0.589464784
11.764487930324057,-2.870818641557907,0.043064807,0.600292027,0.039954733,0.543173671
11.982413067455497,-0.14949325341148828,0.03176773,0.441711426,0.032538708,0.41872564
-7.838057556319808,-3.2011862929550667,0.073722474,1.178629398,0.066043489,1.063772559
-3.9238348215192143,-2.6073248295135336,0.054742105,0.702450991,0.049778894,0.643217623
-10.376618157473102,-9.459518053099965,0.101006515,1.40305984,0.09492857,1.392548084
-7.318809205614505,-3.4483378757427454,0.050346289,0.814255476,0.045242164,0.706825972
-7.032592672723217,-4.399782692792323,0.177131027,3.860489607,0.164372861,3.855398655
-0.7734451795913482,-0.6411966515038154,0.03967578,0.620996654,0.041202091,0.60021323
-7.427594758060043,-3.1497358338405275,0.047932126,0.746125519,0.042489447,0.685178161
13.037943926215043,-1.3666957274115705,0.055490393,0.790753663,0.052384544,0.744552433
10.595895860283377,-3.1508733458822116,0.023196891,0.275166154,0.02537827,0.251279503
-8.402654414459672,-9.197054125806302,0.093616471,1.325979829,0.076241955,1.212569356
20.85798953819163,-5.945228124585637,0.033083558,0.379814506,0.033150215,0.373973548
-2.3387760021060413,-2.360828988997083,0.094984382,1.198932528,0.086579777,1.099220514
2.6793385675899772,-3.6629741554548136,0.044947844,0.591222346,0.040923465,0.5787974
-4.325851436360661,5.645479847030096,0.080371797,1.174402237,0.070210665,1.093566418
-2.5019125553721433,2.1511587918923105,0.063354716,0.866313517,0.053396218,0.802059889
1.5815029238083955,0.7915328412277362,0.088298894,1.140128016,0.081532747,1.108579397
-6.799260598300271,0.8048478107363402,0.101489879,1.529925227,0.096158333,1.455170274
-4.879745733888417,-2.514481841389025,0.062478054,0.963337123,0.062693313,0.932065606
18.83972402868503,-8.180428597348634,0.020939728,0.268633664,0.020557966,0.248508677
16.36813544580145,-1.9374009282371485,0.050421577,0.625509262,0.04674843,0.58582866199999994
-3.6232108193555437,-0.057622745721578314,0.084463857,1.186910272,0.074384734,1.105682135
-3.5746250576264123,-4.41755322933149,0.060614437,0.882566929,0.053241186,0.826013803
-2.1757307925278955,-4.793899997385285,0.049160659,0.58164835,0.045768388,0.546894431
7.644973042495745,-2.0262640626058683,0.062806226,0.763431668,0.061077133,0.756659746
-0.07717880756069512,-1.5876178121545643,0.057343982,0.818238974,0.048511658,0.753766
-1.968257127304743,-3.7437358361108637,0.082035564,1.05573833,0.079533152,1.028518677
0.383739450599911,-1.5082175861996796,0.056232691,0.633408368,0.056113552,0.606509149
9.033146467678602,-4.962681312714842,0.059855361,0.695631504,0.052363556,0.659559488
6.629489509636251,-2.4673331100089912,0.084719703,1.116280198,0.07644809,1.034913182
3.2455100120491167,-0.6670674617764775,0.066864699,0.925259352,0.063452378,0.861653686
16.00505690156805,-5.956772734262357,0.045052245,0.479238361,0.043494292,0.46021384
-8.857381332759948,-4.0546316339781,0.137354419,NA,0.120755747,NA
0.005572236113367904,-0.3240002938007006,0.085521355,1.18524766,0.076240189,1.156120062
-8.636456563693331,-4.147816864421133,0.097280912,1.417903662,0.094491944,1.380613208
5.9992596402025855,-1.3758331928006409,0.046496585,0.636052728,0.041788641,0.592096686
-1.9113421633248997,3.4991318463557692,0.096661992,1.184254766,0.086175561,1.157671809
-5.457150415819867,0.9459291987536765,0.112647474,1.607267022,0.08039055,1.332357526
-5.475920712056369,6.034858445431734,0.116321102,1.83483386,0.10625419,1.763892055
-3.334886223596913,7.772031496537455,0.084252588,1.228827238,0.077097654,1.227183819
-1.7049735176555785,8.538005976552778,0.151521593,2.336892366,0.141503155,2.276631117
-6.758232942727762,4.391843760675243,0.070865765,1.024729609,0.068098985,0.985402703
-5.468347889964341,10.751502397710833,0.071186975,1.009188056,0.067285433,0.971095979
-4.80030591479523,8.543248528726632,0.108797505,1.541542053,0.093847744,1.436543465
-7.999471997488183,4.199762886637079,0.115590647,1.61223197,0.104731992,1.523620129
1.2361338342179573,8.629052917947178,0.161861777,2.2331919670000002,0.157652795,2.203836203
