PC,Variance_Explained,Cumulative_Variance
1,55.509070840731376,55.509070840731376
2,25.598930248302377,81.10800108903375
3,5.636943402865406,86.74494449189916
4,4.391509751675421,91.13645424357458
5,2.9695640903022955,94.10601833387688
6,1.8780161703312876,95.98403450420817
7,0.9776791810236161,96.96171368523179
8,0.8318274549277517,97.79354114015953
9,0.6968691304932075,98.49041027065273
10,0.3726206935416562,98.8630309641944
11,0.25690690971864516,99.11993787391305
12,0.19509371119203991,99.31503158510507
13,0.1484051797255276,99.4634367648306
14,0.09378365544760771,99.55722042027821
15,0.07127083476611526,99.62849125504432
16,0.06184844462690206,99.69033969967123
17,0.04826716729077818,99.73860686696202
18,0.0331967476418459,99.77180361460385
19,0.029958482450226923,99.80176209705408
20,0.027309239997075796,99.82907133705116
21,0.02448421749209412,99.85355555454325
22,0.018606095592554592,99.87216165013581
23,0.016776538829371013,99.88893818896518
24,0.013403361734563597,99.90234155069975
25,0.01138602352532717,99.91372757422506
26,0.009410892691894697,99.92313846691697
27,0.008665288718763067,99.93180375563573
28,0.008080179366952963,99.93988393500268
29,0.006995531885485807,99.94687946688816
30,0.005798313764629288,99.95267778065279
31,0.005242005672270577,99.95791978632506
32,0.004217749140057793,99.96213753546512
33,0.00396719957646436,99.96610473504158
34,0.0034401546008246235,99.9695448896424
35,0.0032407513982988124,99.97278564104072
36,0.003055083585408973,99.97584072462612
37,0.002413451783594072,99.97825417640972
38,0.0019523778368150755,99.98020655424654
39,0.0018089350759546755,99.98201548932248
40,0.0015439227648132007,99.9835594120873
41,0.0014514970624606865,99.98501090914976
42,0.0013676051433780193,99.98637851429314
43,0.001121802509197336,99.98750031680234
44,0.0010712544170483678,99.98857157121938
45,8.69626824719676e-4,99.9894411980441
46,7.742806799164184e-4,99.99021547872402
47,6.846965769566019e-4,99.99090017530098
48,6.296515909743666e-4,99.99152982689195
49,6.210305253879292e-4,99.99215085741734
50,6.022879985879149e-4,99.99275314541592
51,5.238907875297697e-4,99.99327703620345
52,4.5850284987739926e-4,99.99373553905333
53,4.5182018605574635e-4,99.99418735923939
54,3.9391579626688435e-4,99.99458127503566
55,3.5724988914930477e-4,99.9949385249248
56,3.1920232321138277e-4,99.99525772724802
57,3.1271799160041827e-4,99.99557044523962
58,2.5545729602959624e-4,99.99582590253564
59,2.510447636079487e-4,99.99607694729926
60,2.443081634597412e-4,99.99632125546272
61,2.156550980334871e-4,99.99653691056075
62,1.9195315198365743e-4,99.99672886371273
63,1.8829740917653085e-4,99.9969171611219
64,1.7495931734913759e-4,99.99709212043926
65,1.6210058561669726e-4,99.99725422102487
66,1.5507394134610497e-4,99.99740929496622
67,1.420064122675013e-4,99.99755130137848
68,1.3006762086291686e-4,99.99768136899935
69,1.2751318289462286e-4,99.99780888218224
70,1.161960652097258e-4,99.99792507824745
71,1.0778811454492748e-4,99.998032866362
72,1.0689695760932647e-4,99.99813976331961
73,1.0422756679992747e-4,99.99824399088641
74,9.87566835787921e-5,99.99834274756999
75,9.153978534891633e-5,99.99843428735534
76,9.148201854767105e-5,99.99852576937388
77,8.00885910963093e-5,99.99860585796498
78,7.47488053473385e-5,99.99868060677032
79,7.268387820779538e-5,99.99875329064854
80,7.158770350812753e-5,99.99882487835204
81,6.467826037836035e-5,99.99888955661243
82,6.134583601794801e-5,99.99895090244844
83,5.841248153668599e-5,99.99900931492998
84,5.1392748855834593e-05,99.99906070767884
85,5.046979056238726e-5,99.99911117746939
86,4.550742903554824e-5,99.99915668489842
87,4.4056597537100596e-5,99.99920074149597
88,4.3041542075836025e-5,99.99924378303804
89,4.076773944571707e-5,99.99928455077749
90,3.8361989675279534e-5,99.99932291276717
91,3.723677865722821e-5,99.99936014954582
92,3.5316412990139874e-5,99.99939546595881
93,3.2842444393316465e-5,99.99942830840321
94,3.236863973182665e-5,99.99946067704293
95,3.0470603377914013e-5,99.99949114764631
96,2.9927176671696166e-5,99.99952107482298
97,2.8290730586746227e-5,99.99954936555358
98,2.66421139404116e-5,99.99957600766751
99,2.50594909744198e-5,99.99960106715848
100,2.3243261541653654e-5,99.99962431042003
101,2.149352829812505e-5,99.99964580394833
102,2.0520515070318272e-5,99.99966632446339
103,1.9323513376041867e-5,99.99968564797678
104,1.917429915623647e-5,99.99970482227593
105,1.793233490495734e-5,99.99972275461083
106,1.6840800431428415e-5,99.99973959541127
107,1.539073530023824e-5,99.99975498614657
108,1.5107069516722676e-5,99.99977009321609
109,1.478883819224103e-5,99.99978488205427
110,1.4025745844308003e-5,99.99979890780011
111,1.297132024425907e-5,99.99981187912036
112,1.2810807343760743e-5,99.9998246899277
113,1.2289049609381704e-5,99.99983697897731
114,1.117450335879261e-5,99.99984815348067
115,1.0126814035324651e-5,99.99985828029472
116,9.619240001816312e-6,99.9998678995347
117,9.280224393393794e-6,99.99987717975911
118,8.91585969211101e-6,99.99988609561879
119,8.66460309089347e-6,99.99989476022189
120,8.050962743609957e-6,99.99990281118463
121,7.97780460598904e-6,99.99991078898924
122,7.250567993398779e-6,99.99991803955723
123,7.138834118899305e-6,99.99992517839135
124,6.847056052122773e-6,99.999932025447407
125,6.613490918796303e-6,99.99993863893832
126,6.199452544673662e-6,99.99994483839086
127,5.712284999813198e-6,99.99995055067586
128,5.435292070243618e-6,99.99995598596793
129,5.3397749295885525e-6,99.99996132574286
130,5.001486836601143e-6,99.9999663272297
131,4.796571546781649e-6,99.99997112380125
132,4.659155362261631e-6,99.99997578295661
133,4.41403756494176e-6,99.99998019699417
134,4.149886713000858e-6,99.9999843468809
135,3.5889379919179604e-6,99.99998793581888
136,3.5683690163831827e-6,99.9999915041879
137,3.265700820393029e-6,99.99999476988872
138,2.6819570744629618e-6,99.99999745184579
139,2.5481541981468455e-6,99.99999999999999
140,1.0947233967849156e-29,99.99999999999999
