Property,Property_Label,Samples,Calibration_Samples,Test_Samples,Optimal_Components,RMSE,R2,RPD
Total_Nitrogen,Total Nitrogen,133,109,24,13,0.020554097223531877,0.6750034964553132,1.782036556780764
Total_Carbon,Total Carbon,133,109,24,16,0.23859582221184006,0.7604377005825667,1.8273487442591096
Acidified_Nitrogen,Acidified Nitrogen,139,112,27,14,0.014983715640508636,0.8223420438639101,2.377803998632719
Acidified_Carbon,Acidified Carbon,134,110,24,20,0.25455841384312045,0.7403456506659154,1.9478208113571271
