Property,Property_Label,Samples,Calibration_Samples,Test_Samples,Optimal_mtry,RMSE,R2,RPD
Total_Nitrogen,Total Nitrogen,133,109,24,75,0.024345156566180335,0.5600334936193399,1.5045355138460146
Total_Carbon,Total Carbon,133,109,24,50,0.25778408742987463,0.6435598561299218,1.6913292843293937
Acidified_Nitrogen,Acidified Nitrogen,139,112,27,10,0.023692834514971024,0.5751802182457421,1.5037600900755128
Acidified_Carbon,Acidified Carbon,134,110,24,100,0.32593552265201514,0.5578285566485134,1.521264611341757
